Name,CASno,SMILES,inchi,molecular_formula
(L)-Ephedrine,299-42-3,CC(C(C1=CC=CC=C1)O)NC,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10-/m0/s1",C10H15NO
"1,1,1,2-Tetrafluoroethane",811-97-2,C(C(F)(F)F)F,"InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2",C2H2F4
"1,1,1-Trichloroethane",71-55-6,CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",C2H3Cl3
"1,1,2,2-Tetrachloroethane",79-34-5,C(C(Cl)Cl)(Cl)Cl,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,C2H2Cl4
"1,1-Dichloroethane",75-34-3,CC(Cl)Cl,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",C2H4Cl2
"1,1-Dichloroethylene",75-35-4,C=C(Cl)Cl,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,C2H2Cl2
"1,1-Difluoroethane",75-37-6,CC(F)F,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",C2H4F2
"1,1-Difluoroethene",75-38-7,C=C(F)F,InChI=1S/C2H2F2/c1-2(3)4/h1H2,C2H2F2
"1,1-Dimethylhydrazine",57-14-7,CN(C)N,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",C2H8N2
"1,2,4,5-Tetrachlorobenzene",95-94-3,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,C6H2Cl4
"1,2-Dibromo-3-chloropropane",1996-12-08,C(C(CBr)Br)Cl,"InChI=1S/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2",C3H5Br2Cl
"1,2-Dichloroethane",107-06-2,C(CCl)Cl,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,C2H4Cl2
"1,2-Dichloroethylene",540-59-0,C(=CCl)Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,C2H2Cl2
"1,2-Dichloropropane",78-87-5,CC(CCl)Cl,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",C3H6Cl2
"1,2-Diphenylhydrazine",122-66-7,C1=CC=C(C=C1)NNC2=CC=CC=C2,"InChI=1S/C12H12N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10,13-14H",C12H12N2
"1,2-Propanediol Dinitrate",6423-43-4,CC(CO[N+](=O)[O-])O[N+](=O)[O-],"InChI=1S/C3H6N2O6/c1-3(11-5(8)9)2-10-4(6)7/h3H,2H2,1H3",C3H6N2O6
"1,2-Propylene Oxide",75-56-9,CC1CO1,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",C3H6O
"1,3,5-Trinitrobenzene",99-35-4,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],InChI=1S/C6H3N3O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H,C6H3N3O6
"1,3-Butadiene",106-99-0,C=CC=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",C4H6
"1,3-Dichloropropene",542-75-6,C(C=CCl)Cl,"InChI=1S/C3H4Cl2/c4-2-1-3-5/h1-2H,3H2/b2-1+",C3H4Cl2
